Person_ID,Mind_State,Timestamp,Delta,Theta,Low_Alpha,High_Alpha,Low_Beta,High_Beta,Low_Gamma,Mid_Gamma
2,focus,2026-03-30 20:50:51,446539,144107,13309,29372,12553,16375,9727,4452
2,focus,2026-03-30 20:50:52,1567124,38977,28008,8103,11902,5812,13924,2521
2,focus,2026-03-30 20:50:53,2703516,243892,8510,29214,12550,15951,21978,11537
2,focus,2026-03-30 20:50:54,1207173,319733,60261,11327,22714,26088,15632,16979
2,focus,2026-03-30 20:50:55,426543,117926,2328,8864,10308,17677,8558,1770
2,focus,2026-03-30 20:50:56,947886,1364939,60376,74188,73178,67464,34055,8469
2,focus,2026-03-30 20:50:57,1016373,391831,23916,46112,27950,26613,25464,11381
2,focus,2026-03-30 20:50:58,493640,92498,40668,16403,9964,21728,9376,6023
2,focus,2026-03-30 20:50:59,924277,140413,11981,13085,8298,16436,5078,6524
2,focus,2026-03-30 20:51:00,2937699,108479,63150,19542,18862,16753,29200,17730
2,focus,2026-03-30 20:51:01,628864,142863,21812,2769,4167,5656,7842,5380
2,focus,2026-03-30 20:51:02,780930,516325,69426,30912,19068,40939,33903,12221
2,focus,2026-03-30 20:51:03,457842,172191,57646,11090,24317,41287,42686,18933
2,focus,2026-03-30 20:51:04,2301670,459279,41705,96567,12750,45217,39530,7597
2,focus,2026-03-30 20:51:04,553204,49283,6564,27920,8517,8273,12975,1072
2,focus,2026-03-30 20:51:05,437343,222417,21058,18493,5025,7972,17240,3562
2,focus,2026-03-30 20:51:07,175256,147323,144719,19270,96043,25153,32219,17255
2,focus,2026-03-30 20:51:07,671144,331877,23716,3419,4831,17543,9789,4220
2,focus,2026-03-30 20:51:08,1636240,412256,149447,68187,61151,42336,50630,22429
2,focus,2026-03-30 20:51:09,482025,447696,177933,26344,8261,42268,24456,14175
2,focus,2026-03-30 20:51:10,987345,131433,4617,19731,21438,21889,4972,3071
2,focus,2026-03-30 20:51:11,1082686,21422,4380,4430,2303,4153,2360,810
2,focus,2026-03-30 20:51:12,1575501,105067,17926,14306,6920,10804,5657,6855
2,focus,2026-03-30 20:51:13,124668,45540,35260,6611,2112,2451,1654,3310
2,focus,2026-03-30 20:51:14,1121573,237032,82355,4626,26764,23607,11139,6805
2,focus,2026-03-30 20:51:15,184208,7825,3522,2964,2568,1168,2405,759
2,focus,2026-03-30 20:51:16,1351710,92373,112937,51245,34183,37349,53591,12331
2,focus,2026-03-30 20:51:17,1587575,24228,12468,4080,5617,13040,2177,3179
2,focus,2026-03-30 20:51:18,974184,34394,9202,12414,6615,5671,7519,1622
2,focus,2026-03-30 20:51:19,1421182,158952,19535,6705,9735,9233,3508,3705
2,focus,2026-03-30 20:51:20,166486,15358,13100,831,3951,3832,1399,1112
2,focus,2026-03-30 20:51:21,639521,100306,4453,16112,4496,9272,4037,5794
2,focus,2026-03-30 20:51:22,796240,88310,19652,14255,9818,10793,8556,7967
2,focus,2026-03-30 20:51:23,1592364,644002,27270,40234,28287,24577,11731,11244
2,focus,2026-03-30 20:51:24,1330970,159299,96352,12567,7196,5415,9246,4130
2,focus,2026-03-30 20:51:25,1939852,50492,15905,7015,11145,8718,14143,2450
2,focus,2026-03-30 20:51:26,1083986,271154,67730,9711,19730,28249,32063,9695
2,focus,2026-03-30 20:51:27,522731,167198,26833,6641,2444,12298,10307,1600
2,focus,2026-03-30 20:51:28,2232837,60147,54476,12541,13589,16468,7342,2829
2,focus,2026-03-30 20:51:29,245804,310439,6267,12219,9264,19232,4697,6081
2,focus,2026-03-30 20:51:30,861496,266774,19229,8021,4759,15265,11017,5612
2,focus,2026-03-30 20:51:31,631602,178439,5689,7951,10007,4173,13475,5301
2,focus,2026-03-30 20:51:32,1382268,116337,47808,16663,14817,14135,10930,4457
2,focus,2026-03-30 20:51:33,210350,95367,8893,2215,8167,6388,6521,2590
2,focus,2026-03-30 20:51:34,752459,227723,484,19089,4847,9589,7486,4269
2,focus,2026-03-30 20:51:35,399572,126311,20597,5073,11638,10331,6217,1639
2,focus,2026-03-30 20:51:36,608795,38237,12457,17961,8039,10722,7405,2445
2,focus,2026-03-30 20:51:37,367959,82063,28617,14608,15449,20587,16649,9442
2,focus,2026-03-30 20:51:38,496121,48464,7435,8044,8393,7367,1998,877
2,focus,2026-03-30 20:51:39,570128,1522311,94047,16759,82385,46937,20571,10921
2,focus,2026-03-30 20:51:40,2510860,602271,87078,97519,18115,40897,24332,17509
2,focus,2026-03-30 20:51:41,655453,121542,19403,34877,7056,12614,6495,6238
2,focus,2026-03-30 20:51:42,119336,217537,41009,32146,7114,7508,5249,6564
2,focus,2026-03-30 20:51:43,849721,93190,14333,8178,4311,8456,5408,6408
2,focus,2026-03-30 20:51:44,51955,44813,1758,2848,2358,3411,2824,1237
2,focus,2026-03-30 20:51:45,2001803,189753,17206,23259,11624,14417,10782,8026
2,focus,2026-03-30 20:51:46,376675,737308,205375,10984,73298,54671,25510,10066
2,focus,2026-03-30 20:51:47,149105,45702,828,1076,2666,5360,1984,518
2,focus,2026-03-30 20:51:48,450189,130730,7703,2022,13078,12454,8078,7011
2,focus,2026-03-30 20:51:49,148039,169324,3669,14248,8615,4865,5372,10428
2,focus,2026-03-30 20:51:50,1120069,148669,38863,24865,25625,22063,36477,16243
2,focus,2026-03-30 20:51:51,45949,14546,939,895,2797,3461,1131,929
2,focus,2026-03-30 20:51:52,1960580,693185,54930,58781,40355,40405,32205,27999
2,focus,2026-03-30 20:51:53,777915,107515,12009,25553,2559,6006,8370,18681
2,focus,2026-03-30 20:51:54,1622430,58067,7647,7905,3569,9109,5388,6248
2,focus,2026-03-30 20:51:55,968457,630924,363960,33330,100557,48589,19607,15605
2,focus,2026-03-30 20:51:56,1160027,141988,12536,10725,13894,12707,5348,2254
2,focus,2026-03-30 20:51:57,1981249,86390,2339,3288,7956,11496,5101,3245
2,focus,2026-03-30 20:51:58,653683,667944,244534,60091,28293,31625,34509,16534
2,focus,2026-03-30 20:51:59,1149915,280195,67908,26683,34410,29763,48806,11000
2,focus,2026-03-30 20:52:00,210255,112874,13472,16114,7423,13659,5556,3950
2,focus,2026-03-30 20:52:01,1065630,214792,8971,24440,8094,20076,12976,4081
2,focus,2026-03-30 20:52:02,1041452,42249,17499,9530,13166,14925,15796,1051
2,focus,2026-03-30 20:52:03,74866,11133,12878,1154,2645,2144,1959,1549
2,focus,2026-03-30 20:52:04,2891986,169885,232773,70167,56623,34055,21756,17809
2,focus,2026-03-30 20:52:05,175374,37199,8537,12899,41145,32097,19003,3272
2,focus,2026-03-30 20:52:06,2641244,1035508,204341,16548,111879,108223,74331,6846
2,focus,2026-03-30 20:52:07,108398,18903,6190,4415,2461,2854,2002,1637
2,focus,2026-03-30 20:52:08,133781,57831,3554,12051,6276,12896,8820,7684
2,focus,2026-03-30 20:52:09,758577,12760,2362,3496,4293,4801,2050,1892
2,focus,2026-03-30 20:52:10,1066571,260688,14683,14600,14841,39643,35269,21111
2,focus,2026-03-30 20:52:11,488904,23787,42082,3977,12444,9565,9056,3348
2,focus,2026-03-30 20:52:12,804471,688115,25863,28711,85111,33495,60268,9194
2,focus,2026-03-30 20:52:13,956483,90265,12123,6969,8221,10238,7028,7347
2,focus,2026-03-30 20:52:14,800810,136099,21645,19037,8304,9122,10831,2358
2,focus,2026-03-30 20:52:15,1028011,473198,284876,49940,30835,24134,41009,34384
2,focus,2026-03-30 20:52:16,112316,96781,21255,11159,6728,11456,6589,3653
2,focus,2026-03-30 20:52:17,241712,46026,9789,2151,2642,3677,1928,938
2,focus,2026-03-30 20:52:18,538452,49790,28441,20271,11970,18791,7066,4382
2,focus,2026-03-30 20:52:19,205806,77770,17340,8205,5744,6858,10058,2708
2,focus,2026-03-30 20:52:20,88295,25294,11789,1657,7580,4032,8875,3192
2,focus,2026-03-30 20:52:21,1304148,257225,19044,17417,28790,44917,22740,18829
2,focus,2026-03-30 20:52:22,1686567,173400,37862,9038,7924,9466,7057,5611
2,focus,2026-03-30 20:52:23,494195,31991,8762,1619,3681,3769,2092,849
2,focus,2026-03-30 20:52:24,558706,19449,9915,6491,6941,5798,8048,4965
